学校名称,经度_WGS84,纬度_WGS84,经度_GCJ02,纬度_GCJ02,500m内公园数量,500m内公园名称,最近公园名称,最近公园步行距离_米,最近公园步行时间_秒,校内绿地率,外围绿地率,总体绿地率,所属类别
北京市八一学校小学部,116.301778,39.976762,116.307864,39.978028,0,,海淀区中关村西区精品街区公园,718,574,33.80%,25.00%,25.20%,校内高_外围低
北京市海淀区台头小学,116.109879,40.104263,116.11622,40.105667,0,,阳坊劳动公园,2854,2283,42.70%,10.70%,18.60%,校内高_外围低
北京建筑大学附属小学,116.330181,39.934064,116.336323,39.935381,0,,南长河公园,2027,1622,43.70%,27.80%,29.00%,校内高_外围低
北京理工大学附属小学,116.30311,39.960486,116.309196,39.961754,0,,中欧友谊花园,1240,992,48.60%,18.50%,21.70%,校内高_外围低
海淀区中关村第二小学华清校区,116.327664,39.989407,116.333807,39.990721,1,京张铁路遗址公园,京张铁路遗址公园,646,517,35.80%,23.70%,25.80%,校内高_外围低
海淀区星火小学,116.360751,39.951938,116.36696,39.953309,1,老舍公园,老舍公园,479,383,33.00%,21.70%,22.80%,校内高_外围低
海淀区民族小学（北校区）,116.367875,39.978613,116.3741,39.979995,2,小公园(龙翔路); 祁家豁子城市森林公园,小公园(龙翔路),347,278,52.70%,14.50%,18.00%,校内高_外围低
海淀区民族小学（南校区）,116.369961,39.97112,116.376189,39.972505,1,马甸公园儿童区,马甸公园儿童区,518,414,40.40%,21.60%,25.00%,校内高_外围低
海淀区第三实验小学（南校区）,116.337979,39.990086,116.344147,39.991419,1,樱花园,京张铁路遗址公园,799,639,55.70%,24.50%,28.40%,校内高_外围低
海淀区第二实验小学（清宁校区）,116.328911,40.04016,116.335064,40.041478,2,碧水风荷公园; 西三旗绿色海岸,清河燕清体育文化公园,1164,931,36.00%,26.50%,27.70%,校内高_外围低
海淀区翠微小学（白家疃校区）,116.169166,40.040102,116.175367,40.041421,0,,温泉宝盛公园,963,770,43.80%,20.60%,22.40%,校内高_外围低
海淀区西苑小学,116.287584,39.991436,116.293648,39.992682,0,,亮丽园,731,585,40.00%,17.80%,20.50%,校内高_外围低
海淀区西颐小学,116.30702,39.963827,116.313115,39.965102,1,乡园,乡园,969,775,30.70%,21.00%,22.00%,校内高_外围低
首都师范大学附属小学,116.264952,39.940903,116.270987,39.942124,0,,美丽园小区公园,1359,1087,34.60%,18.10%,21.90%,校内高_外围低
中关村第一小学西二旗分校,116.304768,40.048854,116.310869,40.050128,1,快乐成长家庭人口文化园,快乐成长家庭人口文化园,358,286,26.40%,37.90%,36.60%,校内低_外围高
