学校名称,经度,纬度,校内绿地率,外围绿地率,总体绿地率,所属类别
海淀区八里庄小学,116.29385068151156,39.926450890150456,13.60%,11.90%,12.20%,校内低_外围低
海淀区北安河中心小学（周家巷校区）,116.12315016279851,40.05311465731126,8.50%,4.20%,4.70%,校内低_外围低
海淀区台头小学（红星校区）,116.11576022298809,40.08008696556308,23.80%,7.70%,10.30%,校内低_外围低
海淀区图强第二小学,116.2652738450105,39.90815917651117,20.30%,24.30%,24.00%,校内低_外围低
海淀区实验小学（阜成路校区）,116.30794773256908,39.92181869249738,19.20%,21.10%,21.00%,校内低_外围低
海淀区振兴小学,116.21863687896175,40.133606554086086,6.70%,6.70%,6.80%,校内低_外围低
海淀区永丰中心小学（屯佃校区）,116.21108474241795,40.061146862080236,27.60%,21.30%,22.30%,校内低_外围低
海淀区永泰小学,116.3519615586888,40.03172520255527,16.20%,24.80%,23.70%,校内低_外围低
海淀区永泰小学（清缘里校区）,116.35082511575592,40.02765091526117,19.10%,27.30%,26.40%,校内低_外围低
海淀区红英小学（冷泉校区）,116.21472903426039,40.029412467054435,28.60%,14.00%,16.40%,校内低_外围低
海淀区羊坊店中心小学,116.3204062083367,39.89940200144109,28.40%,20.30%,21.50%,校内低_外围低
海淀区羊坊店中心小学（低年级部）,116.32014429254006,39.898030388780434,15.60%,21.10%,20.80%,校内低_外围低
海淀区羊坊店第五小学,116.3222246995525,39.90072911616181,20.40%,23.40%,23.10%,校内低_外围低
海淀区羊坊店第四小学,116.31360281225776,39.9020737563915,25.50%,9.50%,11.70%,校内低_外围低
海淀区翠微小学,116.29759399607747,39.908438887421525,29.30%,13.30%,15.80%,校内低_外围低
海淀区翠湖小学（白水洼校区）,116.20047283803103,40.13457347081354,26.20%,15.40%,17.40%,校内低_外围低
海淀区育鹰小学（西校区）,116.31842451295182,40.053439177408194,12.80%,25.40%,23.90%,校内低_外围低
海淀区花园村第二小学（潘庄校区）,116.31143316330969,39.93386562686129,25.50%,27.50%,27.50%,校内低_外围低
海淀区苏家坨中心小学（苏三四校区）,116.16738467564561,40.0759688346332,26.30%,16.30%,17.90%,校内低_外围低
海淀区苏家坨中心小学（西小营校区）,116.15254767136,40.071767689379286,23.50%,15.10%,16.40%,校内低_外围低
海淀第二实验小学安宁分校,116.31793230813564,40.04878816971673,29.50%,26.80%,27.40%,校内低_外围低
清华大学附属小学清河分校（强佑校区）,116.33745062897879,40.02821644150274,18.90%,18.70%,18.80%,校内低_外围低
清华大学附属小学清河分校（朱房校区）,116.33226805872856,40.027159109802575,7.00%,17.20%,16.30%,校内低_外围低
翠湖小学前章村校区,116.17422037458212,40.12383783511312,28.70%,17.20%,19.40%,校内低_外围低
首都师范大学实验小学（北校区）,116.32339322766965,39.932632853351045,4.50%,22.90%,20.30%,校内低_外围低
首都师范大学实验小学（南校区）,116.32165688790776,39.92881674023102,13.00%,15.10%,14.90%,校内低_外围低
