学校名称,经度_GCJ02,纬度_GCJ02,公园名称,公园类型,公园经度,公园纬度,直线距离_米,步行距离_米,步行时间_秒,是否500m内
北京石油学院附属小学（南校区）,116.367308,39.988898,北京大学学院路校区中心花园,风景名胜;公园广场;公园,116.356422,39.984139,1068,1912,1530,否
北京石油学院附属小学（南校区）,116.367308,39.988898,小公园(龙翔路),风景名胜;公园广场;公园,116.375724,39.981235,1114,1804,1443,否
北京石油学院附属第二实验小学,116.378244,40.035725,东升文体公园,风景名胜;公园广场;公园,116.375967,40.039782,491,759,607,是
北京石油学院附属第二实验小学,116.378244,40.035725,龙岗路社区公园,风景名胜;公园广场;公园,116.368438,40.032684,901,1487,1190,否
北京石油学院附属第二实验小学,116.378244,40.035725,西三旗公园,风景名胜;公园广场;公园,116.362970,40.035774,1301,1609,1287,否
北京石油学院附属第二实验小学,116.378244,40.035725,怡清园小区公园,风景名胜;公园广场;公园,116.362060,40.037824,1399,2120,1696,否
北京石油学院附属第二实验小学,116.378244,40.035725,永泰公园,风景名胜;公园广场;公园,116.360121,40.034690,1548,1883,1506,否
北航实验学校小学部,116.349232,39.977772,北京航空航天大学学院路校区唯实园,风景名胜;公园广场;公园,116.351288,39.978555,195,239,191,是
北航实验学校小学部,116.349232,39.977772,北京航空航天大学学院路校区南花园,风景名胜;公园广场;公园,116.344691,39.980191,471,819,655,是
北航实验学校小学部,116.349232,39.977772,北京航空航天大学学院路校区绿园,风景名胜;公园广场;公园,116.346097,39.983883,730,1046,837,否
北航实验学校小学部,116.349232,39.977772,北京大学学院路校区中心花园,风景名胜;公园广场;公园,116.356422,39.984139,937,1396,1117,否
北航实验学校小学部,116.349232,39.977772,京张铁路遗址公园一期,风景名胜;公园广场;公园,116.339985,39.982588,953,1672,1338,否
和平小学,116.205363,40.036476,太舟坞公园,风景名胜;公园广场;公园,116.200041,40.048057,1366,1806,1445,否
和平小学,116.205363,40.036476,画眉山滨水公园,风景名胜;公园广场;公园,116.207061,40.048846,1384,1783,1426,否
和平小学,116.205363,40.036476,温泉儿童生态体验园,风景名胜;公园广场;公园,116.186779,40.042394,1715,2459,1967,否
和平小学,116.205363,40.036476,东埠头沟公园-南区,风景名胜;公园广场;公园,116.193721,40.050071,1809,2286,1829,否
和平小学,116.205363,40.036476,白家疃公园,风景名胜;公园广场;公园,116.183093,40.044563,2100,2878,2302,否
海淀区万泉小学（曙光分校）,116.291194,39.946017,四季曙光公园,风景名胜;公园广场;公园,116.289718,39.947958,250,1076,861,是
海淀区万泉小学（曙光分校）,116.291194,39.946017,车道沟公园,风景名胜;公园广场;公园,116.294397,39.943911,360,722,578,是
海淀区万泉小学（曙光分校）,116.291194,39.946017,五福玲珑公园,风景名胜;公园广场;公园,116.287733,39.940499,681,1319,1055,否
海淀区万泉小学（曙光分校）,116.291194,39.946017,生命之光人口文化园,风景名胜;公园广场;公园,116.298667,39.952858,993,1962,1570,否
海淀区万泉小学（曙光分校）,116.291194,39.946017,南长河公园,风景名胜;公园广场;公园,116.302924,39.950400,1113,2313,1850,否
海淀区上地实验小学树村校区,116.294522,40.032029,厢黄旗公园-南区,风景名胜;公园广场;公园,116.292606,40.023708,940,1287,1030,否
海淀区上地实验小学树村校区,116.294522,40.032029,厢黄旗公园,风景名胜;公园广场;公园,116.293169,40.022768,1037,1393,1114,否
海淀区上地实验小学树村校区,116.294522,40.032029,树村公园,风景名胜;公园广场;公园,116.304488,40.026141,1072,1308,1046,否
海淀区上地实验小学树村校区,116.294522,40.032029,幸福花园,风景名胜;公园广场;公园,116.309433,40.029881,1293,1655,1324,否
海淀区上地实验小学树村校区,116.294522,40.032029,上地公园,风景名胜;公园广场;公园,116.310318,40.035061,1388,1640,1312,否
海淀区东北旺中心小学,116.278249,40.030046,药用植物园(不对外开放),风景名胜;公园广场;植物园,116.272566,40.034685,708,965,772,否
海淀区东北旺中心小学,116.278249,40.030046,百旺绿地公园,风景名胜;公园广场;公园,116.266751,40.027683,1014,1515,1212,否
海淀区东北旺中心小学,116.278249,40.030046,中国银行城市森林公园,风景名胜;公园广场;公园,116.266569,40.034426,1108,1607,1286,否
海淀区东北旺中心小学,116.278249,40.030046,厢黄旗公园-南区,风景名胜;公园广场;公园,116.292606,40.023708,1412,2153,1722,否
海淀区东北旺中心小学,116.278249,40.030046,厢黄旗公园,风景名胜;公园广场;公园,116.293169,40.022768,1507,2259,1807,否
海淀区中关村第一小学,116.322290,39.983582,院士公园,风景名胜;公园广场;公园,116.327133,39.981181,492,1023,818,是
海淀区中关村第一小学,116.322290,39.983582,中海体育公园,风景名胜;公园广场;公园,116.315203,39.986339,677,1235,988,否
海淀区中关村第一小学,116.322290,39.983582,凝聚园,风景名胜;公园广场;公园,116.332727,39.983572,890,1397,1118,否
海淀区中关村第一小学,116.322290,39.983582,海淀区中关村西区精品街区公园,风景名胜;公园广场;公园,116.310612,39.982152,1008,1739,1391,否
海淀区中关村第一小学,116.322290,39.983582,知春公园,风景名胜;公园广场;公园,116.325896,39.974074,1102,1611,1289,否
海淀区中关村第一小学（党校校区）,116.275839,40.016321,清河滨水绿廊-清河之源,风景名胜;公园广场;公园|风景名胜;风景名胜;风景名胜,116.271614,40.010245,766,983,786,否
海淀区中关村第一小学（党校校区）,116.275839,40.016321,口袋公园,风景名胜;公园广场;公园,116.266863,40.015384,772,1799,1439,否
海淀区中关村第一小学（党校校区）,116.275839,40.016321,肖家河·绿动天地,风景名胜;公园广场;公园,116.288463,40.018007,1092,1603,1282,否
海淀区中关村第一小学（党校校区）,116.275839,40.016321,水上公园(不对外开放),风景名胜;公园广场;公园,116.261701,40.020401,1288,1796,1437,否
海淀区中关村第一小学（党校校区）,116.275839,40.016321,百旺绿地公园,风景名胜;公园广场;公园,116.266751,40.027683,1483,1938,1550,否
海淀区中关村第四小学,116.339657,39.969384,顺馨园,风景名胜;公园广场;公园,116.338819,39.969219,73,58,46,是
海淀区中关村第四小学,116.339657,39.969384,大钟寺体育公园,风景名胜;公园广场;公园,116.338475,39.966210,367,411,329,是
海淀区中关村第四小学,116.339657,39.969384,躺碑庙公园,风景名胜;公园广场;公园,116.329102,39.965722,988,1238,990,否
海淀区中关村第四小学,116.339657,39.969384,双榆树公园,风景名胜;公园广场;公园,116.324810,39.970456,1272,1782,1426,否
海淀区中关村第四小学,116.339657,39.969384,北京航空航天大学学院路校区南花园,风景名胜;公园广场;公园,116.344691,39.980191,1277,1936,1549,否
海淀区五一小学,116.263370,39.901327,青塔街心广场,风景名胜;公园广场;公园,116.260386,39.892431,1022,1362,1090,否
